Date,Created timezone,Profile name,Profile URL,Profile followers,Profile ID,Post detail URL,Mentioned profiles ID,Collaborators,Content ID,Platform,Content type,Media type,Origin of the content,Title,Description,Author URL,Author ID,Author name,Content,Link URL,View on platform,Organic interactions,Total interactions,Organic interactions per 1000 followers,Interactions per 1000 followers,Grade,Last grade,Sentiment,Positive comments,Positive comments (%),Negative comments,Negative comments (%),Neutral comments,Neutral comments (%),Total reactions,Organic likes,Total comments,Save rate,Organic comments,Total shares,Deleted,Hidden,Spam,Unpublished,Saves,Engagements,Promoted post detection,Reactions - like,Reactions - love,Reactions - haha,Reactions - wow,Reactions - sad,Reactions - angry,Shared,Crosspost,Live,Crosspostable,Total reach,Paid reach,Organic reach,Total impressions,Paid impressions,Organic impressions,Impressions engagement rate,Reach engagement rate,Engaged users,Negative feedback,Lifetime post stories,Total likes,Total story likes,Total story comments,Total story shares,Post consumers,Post clicks,Photo views,Link clicks,Other clicks,Media views,Video play,Insights reactions - like,Insights reactions - love,Insights reactions - haha,Insights reactions - wow,Insights reactions - sad,Insights reactions - angry,Insights reactions,Video length (sec),Video view count,Total video view time (sec),Recorded,Views - auto-played,Views - click to play,Views - organic,Views - paid,Views - unique,Initial video views,10-second views,10-second views - auto-played,10-second views - click to play,10-second views - organic,10-second views - paid,10-second views - unique,30-second views,30-second views - auto-played,30-second views - click to play,30-second views - organic,30-second views - paid,30-second views - unique,Completed video views,Average completion (%),Average time watched (sec),Exits,Taps back,Taps forward,Completion rate,Labels,Label groups,Media tags,Insights video view count,Insights comments,Insights like count,Insights dislike count,Insights share count,Engagements - YouTube insights,Insights subscribers lost,Insights subscribers gained,Insights view time,Swipe up,Swipe down,Screenshots,Media view time,Avg. Video Views per Video
01/03/2026,UTC +04:00,The National,https://twitter.com/TheNationalNews,1047699,20583993,https://app.emplifi.io/1154579/content/feed/detail/eyJpZCI6IjIwMjc4NDA1MzcwMzg4Mjc3ODQiLCJwcm9maWxlSWQiOiIyMDU4Mzk5MyIsIm5ldHdvcmsiOiJ0d2l0dGVyIn0=/overview,20583993,,2027840537038827784,twitter,post,link,Brand's content,,,https://twitter.com/TheNationalNews,20583993,The National,Trump risks political fallout from Iran strikes during crucial election year https://t.co/WVpviiLxN1,,https://twitter.com/20583993/status/2027840537038827784,,6,,0.0057268,,,,,,,,,,6,,0,,,0,,,,,,13,,,,,,,,,,,,,,,2138,,2138,0.61%,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
01/03/2026,UTC +04:00,The National,https://twitter.com/TheNationalNews,1047700,20583993,https://app.emplifi.io/1154579/content/feed/detail/eyJpZCI6IjIwMjc4NDE3MTUzNzAxMzU5NzYiLCJwcm9maWxlSWQiOiIyMDU4Mzk5MyIsIm5ldHdvcmsiOiJ0d2l0dGVyIn0=/overview,20583993,,2027841715370135976,twitter,post,animated_gif,Brand's content,,,https://twitter.com/TheNationalNews,20583993,The National,#Breaking: Israeli media reports that Iran’s supreme leader Ayatollah Ali Khamenei killed in strikes https://t.co/VIvKlE40c2,,https://twitter.com/20583993/status/2027841715370135976,,26,,0.0248163,,,no sentiment,0,0%,1,50%,1,50%,18,,2,,,6,,,,,,158,,,,,,,,,,,,,,,9808,,9808,1.61%,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
01/03/2026,UTC +04:00,The National,https://twitter.com/TheNationalNews,1047700,20583993,https://app.emplifi.io/1154579/content/feed/detail/eyJpZCI6IjIwMjc4NDE3MjE2NDA2MzIzNTkiLCJwcm9maWxlSWQiOiIyMDU4Mzk5MyIsIm5ldHdvcmsiOiJ0d2l0dGVyIn0=/overview,20583993,,2027841721640632359,twitter,reply,link,Brand's content,,,https://twitter.com/TheNationalNews,20583993,The National,Follow the latest via our live blog: https://t.co/PpNF5DianR,,https://twitter.com/20583993/status/2027841721640632359,,2,,0.0019089,,,,,,,,,,2,,0,,,0,,,,,,131,,,,,,,,,,,,,,,3940,,3940,3.32%,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
01/03/2026,UTC +04:00,The National,https://www.facebook.com/TheNationalNews,2191959,148788988477345,https://app.emplifi.io/1154579/content/feed/detail/eyJpZCI6IjE0ODc4ODk4ODQ3NzM0NV8xMzU3MTE2NDk5Nzc4MTA0IiwicHJvZmlsZUlkIjoiMTQ4Nzg4OTg4NDc3MzQ1IiwibmV0d29yayI6ImZhY2Vib29rIn0=/overview,,,148788988477345_1357116499778104,facebook,post,photo,Brand's content,,"Iran’s Supreme Leader Ayatollah Ali Khamenei has reportedly been killed, according to Israeli media, quoting an Israeli official.The reports state that Prime Minister Benjamin Netanyahu was presented with documentation, including a photograph said to show Mr Khamenei’s body recovered from rubble and bearing multiple shrapnel wounds.Earlier, Mr Netanyahu said there were 'growing signs' that Mr Khamenei was 'gone'.",https://www.facebook.com/TheNationalNews,148788988477345,The National,"Iran’s Supreme Leader Ayatollah Ali Khamenei has reportedly been killed, according to Israeli media, quoting an Israeli official.The reports state that Prime Minister Benjamin Netanyahu was presented with documentation, including a photograph said to show Mr Khamenei’s body recovered from rubble and bearing multiple shrapnel wounds.Earlier, Mr Netanyahu said there were 'growing signs' that Mr Khamenei was 'gone'.",,https://www.facebook.com/148788988477345_1357116499778104,,1978,,0.902389141,A,,negative,36,19%,86,45%,68,36%,1594,,242,,,142,,FALSE,FALSE,,,23018,organic,1235,56,51,19,216,17,,,,,251839,0,251839,418417,0,418417,5.50%,9.14%,,,2114,1594,1717,242,155,,20898,2383,1,18514,418417,,1326,69,55,22,234,17,1723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
01/03/2026,UTC +04:00,The National News,https://www.instagram.com/thenationalnews.com,640249,17841400442478033,https://app.emplifi.io/1154579/content/feed/detail/eyJpZCI6IjE4MTA0MTQ4NDk5ODgyMzE0IiwicHJvZmlsZUlkIjoiMTc4NDE0MDA0NDI0NzgwMzMiLCJuZXR3b3JrIjoiaW5zdGFncmFtIn0=/overview,,,18104148499882314,instagram,post,photo,Brand's content,,,https://www.instagram.com/thenationalnews.com,17841400442478033,The National News,"Iran’s Supreme Leader Ayatollah Ali Khamenei has reportedly been killed, according to Israeli media, quoting an Israeli official.The reports state that Prime Minister Benjamin Netanyahu was presented with documentation, including a photograph said to show Mr Khamenei’s body recovered from rubble and bearing multiple shrapnel wounds.Earlier, Mr Netanyahu said there were 'growing signs' that Mr Khamenei was 'gone'.",,https://www.instagram.com/p/DVUJrIyFik7/,1397,1397,2.1819636,2.1819636,B,,strongly positive,26,52%,13,26%,11,22%,1321,1321,76,,76,1991,,,,,117,3529,,,,,,,,,,,,161877,,161877,287382,,287382,1.23%,2.18%,,,,1321,,,,,,,,,287382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
01/03/2026,UTC +04:00,The National News,https://www.youtube.com/channel/UCGYf0VFdlSTzcJghW9z1DAA,716000,UCGYf0VFdlSTzcJghW9z1DAA,https://app.emplifi.io/1154579/content/feed/detail/eyJpZCI6IkVJMmVzSm5QLTU0IiwicHJvZmlsZUlkIjoiVUNHWWYwVkZkbFNUemNKZ2hXOXoxREFBIiwibmV0d29yayI6InlvdXR1YmUifQ==/overview,,,EI2esJnP-54,youtube,post,video,Brand's content,US and Israel’s attacks leave Iranians in shock and panic,,https://www.youtube.com/channel/UCGYf0VFdlSTzcJghW9z1DAA,UCGYf0VFdlSTzcJghW9z1DAA,The National News,Yusef Jalali reports from Tehran as the US and Israel launch major attacks and Iran retaliatesAll the latest news: https://www.thenationalnews.comLike us on Facebook: https://www.facebook.com/TheNationalNewsFollow us on X: https://twitter.com/TheNationalNewsFollow us on Instagram: https://www.instagram.com/thenationalnews.com/Follow us on LinkedIn: https://www.linkedin.com/company/thenationalnews,,https://www.youtube.com/watch?v=EI2esJnP-54,,52,,0.0726257,,,,,,,,,,52,,0,,,,,,,,,65,,,,,,,,,,,,,,,,,,,,,,,52,,,,,,,,,,,,,,,,,,152,2659,404168,,,,,,,,,,,,,,,,,,,,,15.07582516,23,,,,,,,,2655,5,52,5,3,65,0,1,60840,,,,,2659
01/03/2026,UTC +04:00,The National News,https://www.tiktok.com/@thenationalnews,1557351,f7543525-1f92-513e-a59b-1ab9132d7362,https://app.emplifi.io/1154579/content/feed/detail/eyJpZCI6Ijc2MTIwMTY0NDUwNDc3MjEyMzQiLCJwcm9maWxlSWQiOiJmNzU0MzUyNS0xZjkyLTUxM2UtYTU5Yi0xYWI5MTMyZDczNjIiLCJuZXR3b3JrIjoidGlrdG9rIn0=/overview,,,7612016445047721234,tiktok,post,video,Brand's content,,,,,,Yusef Jalali reports from Tehran as the US and Israel launch major attacks and Iran retaliates,,https://www.tiktok.com/@thenationalnews/video/7612016445047721234?utm_campaign=tt4d_open_api&utm_source=6997404317372137474,,,,,,,,,,,,,,562,,26,,,6,,,,,,594,,,,,,,,,,,,30864,,,35585,,,,1.92%,,,,562,,,,,,,,,,,,,,,,,,152,35585,391162,,,,,,,,,,,,,,,,,,,,,,7,,,,0.43%,,,,,,,,,,,,,,,,,35585
01/03/2026,UTC +04:00,The National,https://twitter.com/TheNationalNews,1047713,20583993,https://app.emplifi.io/1154579/content/feed/detail/eyJpZCI6IjIwMjc4NDU0NzI5MjkzMjk1NjkiLCJwcm9maWxlSWQiOiIyMDU4Mzk5MyIsIm5ldHdvcmsiOiJ0d2l0dGVyIn0=/overview,20583993,,2027845472929329569,twitter,post,video,Brand's content,,,https://twitter.com/TheNationalNews,20583993,The National,Yusef Jalali reports from Tehran as the US and Israel launch major attacks and Iran retaliates. https://t.co/Jgk4cSYoM0,,https://twitter.com/20583993/status/2027845472929329569,,16,,0.0152714,,,,,,,,,,15,,0,,,1,,,,,,114,,,,,,,,,,,,,,,14568,,14568,0.78%,,,,,15,,,,,,,,,,,,,,,,,,,8158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8158
01/03/2026,UTC +04:00,The National,https://www.facebook.com/TheNationalNews,2191959,148788988477345,https://app.emplifi.io/1154579/content/feed/detail/eyJpZCI6IjE0ODc4ODk4ODQ3NzM0NV8xMzU3MTIzMTg5Nzc3NDM1IiwicHJvZmlsZUlkIjoiMTQ4Nzg4OTg4NDc3MzQ1IiwibmV0d29yayI6ImZhY2Vib29rIn0=/overview,,,148788988477345_1357123189777435,facebook,post,photo,Brand's content,,,https://www.facebook.com/TheNationalNews,148788988477345,The National,"Sheikh Mohammed bin Rashid attended Emirates Super Saturday at Meydan Racecourse, one month ahead of the 30th Dubai World Cup on 28 March.Sheikh Mohammed said the occasion reflects Dubai’s position in global horse racing and affirmed the emirate’s commitment to strengthening its status as a hub for equestrian sport.",,https://www.facebook.com/148788988477345_1357123189777435,,266,,0.121352635,B,,mixed,4,40%,4,40%,2,20%,246,,10,,,10,,FALSE,FALSE,,,6056,organic,220,16,6,1,1,2,,,,,70403,0,70403,112139,0,112139,5.40%,8.60%,,,276,246,256,10,10,,5780,3893,1,1886,112139,,229,16,7,1,1,2,256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Social Team,claim your clicks,,,,,,,,,,,,,,,0
01/03/2026,UTC +04:00,The National News,https://www.instagram.com/thenationalnews.com,640249,17841400442478033,https://app.emplifi.io/1154579/content/feed/detail/eyJpZCI6IjE4MzYxNzE3MTg2MjA1OTE0IiwicHJvZmlsZUlkIjoiMTc4NDE0MDA0NDI0NzgwMzMiLCJuZXR3b3JrIjoiaW5zdGFncmFtIn0=/overview,,,18361717186205914,instagram,post,carousel,Brand's content,,,https://www.instagram.com/thenationalnews.com,17841400442478033,The National News,"Sheikh Mohammed bin Rashid attended Emirates Super Saturday at Meydan Racecourse, one month ahead of the 30th Dubai World Cup on 28 March.⁣⁣Sheikh Mohammed said the occasion reflects Dubai’s position in global horse racing and affirmed the emirate’s commitment to strengthening its status as a hub for equestrian sport.",,https://www.instagram.com/p/DVULPv8AYSK/,1409,1409,2.2007063,2.2007063,B,,negative,3,25%,4,33%,5,42%,1392,1392,17,,17,162,,,,,89,1670,,,,,,,,,,,,81162,,81162,181273,,181273,0.92%,2.06%,,,,1392,,,,,,,,,181273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Social Team,claim your clicks,,,,,,,,,,,,,,,0
